id,title,url,headline,instructor,rating,num_reviews,num_subscribers,num_lectures,content_length,level,is_paid,last_update,published_time,image,topic
2267332,AWS VPC and Networking in depth: Learn practically !,https://www.udemy.com/course/networking-in-aws/,Amazon VPC and Networking from basics to advance with 20+ simple to complex real life hands-on exercises,Chetan Agrawal | Ex. Senior Solutions Architect at AWS,4.712092,6000,37855,63,11.5 hours,All Levels,True,2026-02-24,2019-03-22T01:50:23Z,https://img-c.udemycdn.com/course/240x135/2267332_4331_14.jpg,aws-certification
6311615,[NEW] AWS Certified Cloud Practitioner 2026 [CLF-C02],https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/,Build strong AWS foundation | Become AWS Cloud Certified | 40+ Labs | 1 Full Practic Test | For absolute AWS beginners,Chetan Agrawal | Ex. Senior Solutions Architect at AWS,4.6417375,869,11011,291,22.5 hours,Beginner,True,2026-02-08,2025-03-17T09:51:10Z,https://img-c.udemycdn.com/course/240x135/6311615_ea85_9.jpg,aws-certification
5625716,Migration to AWS,https://www.udemy.com/course/migration-to-aws/,Learn about the whole lifecycle of Migration to AWS,Ashish Prajapati,4.6908545,504,2975,62,14 hours,Intermediate,True,2023-10-27,2023-10-28T02:53:51Z,https://img-c.udemycdn.com/course/240x135/5625716_0a03_6.jpg,aws-certification
3142170,6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.562917,38426,324812,0,390 questions,Beginner,True,2026-01-21,2020-06-08T11:48:57Z,https://img-c.udemycdn.com/course/240x135/3142170_19fd_4.jpg,aws-certification
6757241,AI Cybersecurity Solutions: Overview of Applied AI Security,https://www.udemy.com/course/ai-cybersecurity-learnit/,"Learn to identify, analyze, and mitigate GenAI threats using modern security playbooks",Andrii Piatakha,4.635659,159,8908,27,8 hours,All Levels,True,2026-02-13,2025-11-18T18:09:02Z,https://img-c.udemycdn.com/course/240x135/6757241_d334_3.jpg,cyber-security
4038718,Complete Introduction to Cybersecurity 2026,https://www.udemy.com/course/complete-introduction-to-cybersecurity/,Learn the basics of I.T. and fundamentals cybersecurity. Complete Beginner Course!,Grant Collins,4.3839054,8229,63770,40,2.5 hours,Beginner,True,2026-01-06,2021-05-21T21:42:36Z,https://img-c.udemycdn.com/course/240x135/4038718_de65_2.jpg,cyber-security
1494648,Risk Management for Cybersecurity and IT Managers,https://www.udemy.com/course/risk-management-for-cybersecurity/,The management's guide to understanding Risk Management decisions in cybersecurity and information technology (IT),Jason Dion • 2.8 Million+ Enrollments Worldwide,4.4804106,21392,55790,24,3 hours,All Levels,True,2026-03-02,2018-01-08T16:37:10Z,https://img-c.udemycdn.com/course/240x135/1494648_39fb_5.jpg,cyber-security
4672448,The Complete Certified in Cybersecurity CC course ISC2 2025,https://www.udemy.com/course/certifiedincybersecurity/,Start your Cyber security career today! Take the Complete Certified in Cybersecurity (CC) beginners course ISC2 - 2025,"Thor Pedersen | 670,000+ Enrollments Worldwide",4.680898,14445,70531,145,17.5 hours,All Levels,True,2025-11-16,2022-11-01T16:08:28Z,https://img-c.udemycdn.com/course/240x135/4672448_5ec9_4.jpg,cyber-security
3654420,Cyber Security: From Beginner to Expert,https://www.udemy.com/course/cybersecurity-from-beginner-to-expert/,Cyber Security made easy for absolute beginners - learn from an industry expert with PhD,"Logix Academy | 150,000+ Enrollments Worldwide",4.585197,14654,86894,101,15.5 hours,Beginner,True,2025-08-15,2020-12-06T14:45:41Z,https://img-c.udemycdn.com/course/240x135/3654420_6ef3_8.jpg,cyber-security
6808985,Cyber Security & Ethical Hacking v2026: From Zero to Expert,https://www.udemy.com/course/cyber-security-ethical-hacking-v2026-from-zero-to-expert/,"Learn cybersecurity, ethical hacking, and Kali Linux tools — protect networks, exploit systems, and defend like a pro.",IT Security Online Training,4.287388,84,386,82,22 hours,All Levels,True,2025-10-26,2025-10-26T09:16:40Z,https://img-c.udemycdn.com/course/240x135/6808985_a8b3_2.jpg,cyber-security
6376435,SOC2: System and Organization Controls,https://www.udemy.com/course/soc2-system-and-organization-controls/,Cybersecurity | Auditing,Christopher Nett | 90.000+ Enrollments Worldwide,4.5709567,571,2146,44,2.5 hours,All Levels,True,2026-01-29,2025-05-26T00:48:32Z,https://img-c.udemycdn.com/course/240x135/6376435_a369_3.jpg,cyber-security
872460,The Complete Cyber Security Course : End Point Protection!,https://www.udemy.com/course/the-complete-cyber-security-course-end-point-protection/,"Volume 4 :Become a Cyber Security Specialist, Antivirus & Malware, Disk Encryption, Finding & Removing Hackers & Malware",Nathan House,4.4810867,7079,101642,177,16.5 hours,All Levels,True,2024-03-24,2016-12-21T15:38:47Z,https://img-c.udemycdn.com/course/240x135/872460_879b_2.jpg,cyber-security
